word,gender,idf,meanfreq,has_a,has_e,has_i,has_o,has_u,has_y
"communicatio1","f","3.9196578916824","1.3333333333333333",1,0,1,1,1,0
"compages1","f","3.12610876914982","2.923076923076923",1,1,0,1,0,0
"comparatio1","f","1.96856749216334","2.7241379310344827",1,0,1,1,0,0
"comparatio2","f","2.15412314531942","2.2549019607843137",1,0,1,1,0,0
"compes1","m","2.78215436793246","0.6818181818181818",0,1,0,1,0,0
"complexus2","m","1.28738967618288","1.7311827956989247",0,1,0,1,1,0
"complures1","f","1.71802403051275","5.478260869565218",0,1,0,1,1,0
"compressio1","f","5.82654848729092","1.75",0,1,1,1,0,0
"compressus2","m","1.73908564604058","0.7205882352941172",0,1,0,1,1,0
"conatus1","m","0.968567492163343","1.7104885057471269",1,0,0,1,1,0
"conatus2","m","0.968567492163343","1.7104885057471269",1,0,0,1,1,0
"concessus2","m","1.48669848440629","1.1851851851851851",0,1,0,1,1,0
"conchylium1","n","3.01919356523331","2.107142857142857",0,0,1,1,1,1
"concilium1","n","1.31875384709222","9.021978021978022",0,0,1,1,1,0
"concitator1","m","4.6566234858486","1.5",1,0,1,1,0,0
"concordia1","f","1.09862803272772","5.415094339622642",1,0,1,1,0,0
"concubitus1","m","2.21183864317571","1.0204081632653061",0,0,1,1,1,0
"concursus1","m","1.21183864317571","2.3877551020408165",0,0,0,1,1,0
"condicio1","f","0.550424082016677","8.048387096774194",0,0,1,1,0,0
"conexum1","n","2.50462039240355","1",0,1,0,1,1,0
"confinium1","n","2.40028373258882","2.046511627906977",0,0,1,1,1,0
"congestus2","m","3.01919356523331","0.6607142857142857",0,1,0,1,1,0
"congiarium1","n","3.3029865312339","2.8260869565217392",1,0,1,1,1,0
"congressus2","m","1.6367239284109","2.2945205479452055",0,1,0,1,1,0
"consanguineus1","m","2.73908564604058","1.8235294117647058",1,1,1,1,1,0
"conscientia1","f","1.27195963561328","3.398936170212766",1,1,1,1,0,0
"conscius1","m","0.87235217690404","4.036290322580645",0,0,1,1,1,0
"consiliarius1","m","3.6566234858486","2.1944444444444446",1,0,1,1,1,0
"consilium1","n","0.279654027403278","23.72192513368984",0,0,1,1,1,0
"conspectus2","m","0.782154367932462","3.484848484848485",0,1,0,1,1,0
"constantia1","f","1.22663564510379","3.149484536082474",1,0,1,1,0,0
"consuetudo1","f","0.98105843634654","9.11304347826087",0,1,0,1,1,0
"consul1","m","0.559761946596014","61.003246753246756",0,0,0,1,1,0
"consularis1","m","1.3029865312339","11.61413043478261",1,0,1,1,1,0
"consulatus1","m","1.09862803272772","11.19811320754717",1,0,0,1,1,0
"consultum1","n","0.884033981951675","3.3719512195121957",0,0,0,1,1,0
"consultus1","m","0.884033981951675","3.4464769647696456",0,0,0,1,1,0
"contentio1","f","1.12610876914982","5.951923076923077",0,1,1,1,0,0
"contextus2","m","2.61709512166197","1.09009009009009",0,1,0,1,1,0
"continens1","n","1.18269229751619","1.2291666666666656",0,1,1,1,0,0
"continens2","n","1.18269229751619","1.2291666666666656",0,1,1,1,0,0
